# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = lda_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = inputData_originalNames.data.R
# init = 2 (Default)
# random
#   seed = 1393706742
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.3.1,theta.4.1,theta.5.1,theta.6.1,theta.7.1,theta.8.1,theta.9.1,theta.10.1,theta.11.1,theta.12.1,theta.13.1,theta.14.1,theta.15.1,theta.16.1,theta.17.1,theta.18.1,theta.19.1,theta.20.1,theta.21.1,theta.22.1,theta.23.1,theta.24.1,theta.25.1,theta.1.2,theta.2.2,theta.3.2,theta.4.2,theta.5.2,theta.6.2,theta.7.2,theta.8.2,theta.9.2,theta.10.2,theta.11.2,theta.12.2,theta.13.2,theta.14.2,theta.15.2,theta.16.2,theta.17.2,theta.18.2,theta.19.2,theta.20.2,theta.21.2,theta.22.2,theta.23.2,theta.24.2,theta.25.2,phi.1.1,phi.2.1,phi.1.2,phi.2.2,phi.1.3,phi.2.3,phi.1.4,phi.2.4,phi.1.5,phi.2.5
# Adaptation terminated
# Step size = 0.188613
# Diagonal elements of inverse mass matrix:
# 5.05981, 4.92315, 0.388191, 0.342793, 3.81639, 3.76495, 4.34154, 4.33904, 7.00655, 3.95553, 3.93406, 6.85582, 1.69747, 5.19446, 4.83537, 1.51357, 1.18634, 2.53885, 1.89972, 5.36005, 0.990679, 1.60987, 0.827749, 0.391307, 6.28628, 0.0404322, 0.0951269, 5.80096, 34.8549, 17.1513, 37.0694, 0.0531589, 0.0432602
-394.176,0.853011,0.188613,4,15,0,405.922,0.0301283,0.0254188,0.640574,0.531105,0.924137,0.0176937,0.0888856,0.992266,0.00922985,0.996551,2.80756e-005,0.0325406,0.424977,0.0336164,0.935812,0.191389,0.814332,0.764603,0.1668,0.0468475,0.38274,0.573667,0.139126,0.592008,0.999313,0.969872,0.974581,0.359426,0.468895,0.0758634,0.982306,0.911114,0.00773411,0.99077,0.00344887,0.999972,0.967459,0.575023,0.966384,0.0641878,0.808611,0.185668,0.235397,0.8332,0.953153,0.61726,0.426333,0.860874,0.407992,0.000686576,0.470425,0.000368464,0.321755,0.0199824,0.205916,0.291866,1.2812e-006,0.370612,0.00190267,0.317171
-403.59,1,0.188613,4,15,0,413.728,0.196585,0.0708535,0.343341,0.323328,0.990567,0.252984,0.134339,0.918527,0.0014075,0.999984,1.92171e-005,0.221241,0.523826,0.0133525,0.737985,0.13436,0.759295,0.785118,0.122687,0.221356,0.404507,0.900336,0.188326,0.76566,0.999637,0.803415,0.929147,0.656659,0.676672,0.00943305,0.747016,0.865661,0.0814728,0.998593,1.62547e-005,0.999981,0.778759,0.476174,0.986647,0.262015,0.86564,0.240705,0.214882,0.877313,0.778644,0.595493,0.0996641,0.811674,0.23434,0.000362934,0.431062,1.67616e-005,0.39059,3.61827e-006,0.170147,0.29972,3.51575e-008,0.370783,0.00820044,0.329477
-405.768,0.984554,0.188613,4,15,0,416.318,0.0428517,0.00909184,0.322099,0.368252,0.996779,0.0887075,0.130753,0.934818,0.00256609,0.999987,2.96712e-005,0.0717612,0.513773,0.0399354,0.836041,0.0804652,0.797032,0.392096,0.135922,0.145859,0.527654,0.957986,0.279649,0.76473,0.999091,0.957148,0.990908,0.677901,0.631748,0.00322137,0.911292,0.869247,0.0651815,0.997434,1.28385e-005,0.99997,0.928239,0.486227,0.960065,0.163959,0.919535,0.202968,0.607904,0.864078,0.854141,0.472346,0.042014,0.720351,0.23527,0.000909333,0.421573,1.60242e-005,0.396736,1.33374e-006,0.170563,0.271762,1.70487e-009,0.358432,0.011128,0.369789
-402.682,0.996538,0.188613,4,15,0,417.105,0.262196,0.022486,0.3423,0.46639,0.996909,0.111904,0.0315473,0.996475,0.0204903,0.99999,4.16486e-006,0.0832638,0.713373,0.0387279,0.844084,0.0918644,0.815622,0.807912,0.194271,0.0907674,0.566528,0.908143,0.193906,0.755628,0.999912,0.737804,0.977514,0.6577,0.53361,0.00309108,0.888096,0.968453,0.00352532,0.97951,9.64771e-006,0.999996,0.916736,0.286627,0.961272,0.155916,0.908136,0.184378,0.192088,0.805729,0.909233,0.433472,0.0918568,0.806094,0.244372,8.80903e-005,0.371306,0.000578122,0.398433,3.38792e-006,0.219116,0.262217,1.26141e-008,0.342252,0.0111453,0.394949
-402.468,0.999561,0.188613,4,31,0,417.072,0.189285,0.0225957,0.380056,0.401131,0.997643,0.175039,0.0211289,0.998603,0.0613939,0.999997,2.2205e-006,0.0807622,0.592864,0.0112491,0.804743,0.156637,0.7865,0.869414,0.207915,0.227621,0.565973,0.954011,0.119449,0.727924,0.999717,0.810715,0.977404,0.619944,0.598869,0.00235663,0.824961,0.978871,0.00139687,0.938606,2.82973e-006,0.999998,0.919238,0.407136,0.988751,0.195257,0.843363,0.2135,0.130586,0.792085,0.772379,0.434027,0.0459893,0.880551,0.272076,0.000283155,0.384824,0.000544205,0.365833,8.07942e-006,0.230058,0.267702,7.80858e-008,0.357037,0.0192853,0.37471
-406.102,0.904297,0.188613,4,31,0,422.17,0.0170517,0.000506449,0.524182,0.55478,0.998954,0.0140483,0.460092,0.998693,0.0361425,1,0.000135097,0.0574161,0.448813,0.0111504,0.982947,0.0403226,0.642215,0.606154,0.154041,0.0755521,0.740937,0.977069,0.154436,0.618299,0.999987,0.982948,0.999494,0.475818,0.44522,0.00104564,0.985952,0.539908,0.0013069,0.963857,4.54946e-007,0.999865,0.942584,0.551187,0.98885,0.0170528,0.959677,0.357785,0.393846,0.845959,0.924448,0.259063,0.0229306,0.845564,0.381701,1.25641e-005,0.434527,0.0252684,0.284305,4.54878e-006,0.267726,0.242441,0.00531539,0.384294,0.00812662,0.347992
