# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = lda_t_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = inputData.data.R
# init = 2 (Default)
# random
#   seed = 789047514
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta__asColumnOfTable__document_topic.1.1,theta__asColumnOfTable__document_topic.2.1,theta__asColumnOfTable__document_topic.3.1,theta__asColumnOfTable__document_topic.4.1,theta__asColumnOfTable__document_topic.5.1,theta__asColumnOfTable__document_topic.6.1,theta__asColumnOfTable__document_topic.7.1,theta__asColumnOfTable__document_topic.8.1,theta__asColumnOfTable__document_topic.9.1,theta__asColumnOfTable__document_topic.10.1,theta__asColumnOfTable__document_topic.11.1,theta__asColumnOfTable__document_topic.12.1,theta__asColumnOfTable__document_topic.13.1,theta__asColumnOfTable__document_topic.14.1,theta__asColumnOfTable__document_topic.15.1,theta__asColumnOfTable__document_topic.16.1,theta__asColumnOfTable__document_topic.17.1,theta__asColumnOfTable__document_topic.18.1,theta__asColumnOfTable__document_topic.19.1,theta__asColumnOfTable__document_topic.20.1,theta__asColumnOfTable__document_topic.21.1,theta__asColumnOfTable__document_topic.22.1,theta__asColumnOfTable__document_topic.23.1,theta__asColumnOfTable__document_topic.24.1,theta__asColumnOfTable__document_topic.25.1,theta__asColumnOfTable__document_topic.1.2,theta__asColumnOfTable__document_topic.2.2,theta__asColumnOfTable__document_topic.3.2,theta__asColumnOfTable__document_topic.4.2,theta__asColumnOfTable__document_topic.5.2,theta__asColumnOfTable__document_topic.6.2,theta__asColumnOfTable__document_topic.7.2,theta__asColumnOfTable__document_topic.8.2,theta__asColumnOfTable__document_topic.9.2,theta__asColumnOfTable__document_topic.10.2,theta__asColumnOfTable__document_topic.11.2,theta__asColumnOfTable__document_topic.12.2,theta__asColumnOfTable__document_topic.13.2,theta__asColumnOfTable__document_topic.14.2,theta__asColumnOfTable__document_topic.15.2,theta__asColumnOfTable__document_topic.16.2,theta__asColumnOfTable__document_topic.17.2,theta__asColumnOfTable__document_topic.18.2,theta__asColumnOfTable__document_topic.19.2,theta__asColumnOfTable__document_topic.20.2,theta__asColumnOfTable__document_topic.21.2,theta__asColumnOfTable__document_topic.22.2,theta__asColumnOfTable__document_topic.23.2,theta__asColumnOfTable__document_topic.24.2,theta__asColumnOfTable__document_topic.25.2,mu__asColumnOfTable__topic_word.1.1,mu__asColumnOfTable__topic_word.2.1,mu__asColumnOfTable__topic_word.1.2,mu__asColumnOfTable__topic_word.2.2,mu__asColumnOfTable__topic_word.1.3,mu__asColumnOfTable__topic_word.2.3,mu__asColumnOfTable__topic_word.1.4,mu__asColumnOfTable__topic_word.2.4,mu__asColumnOfTable__topic_word.1.5,mu__asColumnOfTable__topic_word.2.5
# Adaptation terminated
# Step size = 0.204452
# Diagonal elements of inverse mass matrix:
# 4.90743, 4.73849, 0.334402, 0.329256, 4.87218, 4.71098, 6.41393, 6.05702, 5.23804, 4.82514, 4.1266, 6.87541, 1.53431, 10.9322, 4.58249, 4.11254, 3.4823, 2.59141, 1.53184, 5.08595, 1.10995, 1.93829, 1.59185, 0.444164, 4.3745, 22.2309, 19.5518, 0.0613038, 0.0416124, 0.0372156, 0.0928729, 6.94296, 53.6883
-447.819,0.802887,0.204452,4,15,0,461.624,0.609722,0.916123,0.509976,0.534176,2.56934e-005,0.977647,0.997325,8.57115e-005,0.990112,0.0491854,0.999879,0.982684,0.392561,0.998073,0.0013253,0.891989,0.274923,0.27531,0.876626,0.819114,0.151653,0.140648,0.374243,0.516025,0.0118379,0.390278,0.0838766,0.490024,0.465824,0.999974,0.0223528,0.00267466,0.999914,0.00988757,0.950815,0.000121047,0.0173163,0.607439,0.00192665,0.998675,0.108011,0.725077,0.72469,0.123374,0.180886,0.848347,0.859352,0.625757,0.483975,0.988162,0.00222919,0.362331,1.10027e-007,0.36291,0.176215,0.274665,0.43304,6.05991e-013,0.388516,9.49072e-005
-449.925,0.964997,0.204452,4,15,0,464.729,0.948798,0.903241,0.492559,0.711228,2.90144e-005,0.997546,0.975383,0.000113919,0.734107,0.0468895,0.991729,0.935449,0.653984,0.99835,0.000203338,0.686116,0.113394,0.158262,0.794777,0.727981,0.343081,0.224945,0.683366,0.474424,0.00669892,0.0512018,0.0967585,0.507441,0.288772,0.999971,0.00245398,0.0246165,0.999886,0.265893,0.95311,0.00827054,0.0645514,0.346016,0.00164991,0.999797,0.313884,0.886606,0.841738,0.205223,0.272019,0.656919,0.775055,0.316634,0.525576,0.993301,0.00610585,0.290363,4.56278e-009,0.278491,0.208075,0.431138,0.38802,1.01007e-009,0.397799,7.45692e-006
-454.596,0.912904,0.204452,4,15,0,472.899,0.914202,0.839102,0.658564,0.67861,3.20493e-005,0.996833,0.847336,3.13547e-005,0.591656,0.0125278,0.960554,0.978924,0.695555,0.999554,0.00056496,0.618972,0.23318,0.133091,0.931762,0.7514,0.29701,0.266064,0.60206,0.523457,0.00673509,0.0857984,0.160898,0.341436,0.32139,0.999968,0.00316729,0.152664,0.999969,0.408344,0.987472,0.0394459,0.0210764,0.304445,0.000446455,0.999435,0.381028,0.76682,0.866909,0.0682375,0.2486,0.70299,0.733936,0.39794,0.476543,0.993265,0.00295507,0.302267,7.42708e-009,0.246319,0.213516,0.451394,0.386745,2.89968e-011,0.396784,2.0857e-005
-444.048,0.851298,0.204452,4,15,0,469.783,0.623555,0.993946,0.498427,0.603872,0.000171115,0.998343,0.92462,2.77677e-005,0.923474,0.0138836,0.964966,0.992787,0.18611,0.996624,0.00817464,0.786587,0.285523,0.148176,0.981024,0.447657,0.152506,0.183218,0.834994,0.488439,0.00669808,0.376445,0.00605408,0.501573,0.396128,0.999829,0.00165719,0.0753805,0.999972,0.0765265,0.986116,0.0350342,0.00721332,0.81389,0.00337583,0.991825,0.213413,0.714477,0.851824,0.0189764,0.552343,0.847494,0.816782,0.165006,0.511561,0.993302,0.000936162,0.330453,3.78915e-010,0.304766,0.171505,0.364154,0.409695,7.16782e-005,0.417864,0.000554775
-436.801,0.965877,0.204452,4,15,0,460.3,0.9636,0.832261,0.485659,0.607216,0.258024,0.99342,0.974528,0.326086,0.942327,0.0124714,0.936234,0.762442,0.215349,0.999375,0.0417921,0.845788,0.0961915,0.158124,0.680013,0.989462,0.583236,0.196833,0.4461,0.621416,0.125709,0.0364,0.167739,0.514341,0.392784,0.741976,0.00658043,0.0254723,0.673914,0.0576726,0.987529,0.0637664,0.237558,0.784651,0.000625453,0.958208,0.154212,0.903809,0.841876,0.319987,0.010538,0.416764,0.803167,0.5539,0.378584,0.874291,0.000164965,0.328913,1.15045e-007,0.375755,0.262489,0.275996,0.424387,0.0165999,0.312959,0.0027356
-434.583,0.975422,0.204452,4,15,0,456.293,0.973153,0.853682,0.613308,0.735098,0.00389432,0.993158,0.827378,0.0109387,0.90089,0.0677125,0.587605,0.579564,0.0919701,0.983912,0.229105,0.899225,0.33643,0.0579533,0.928918,0.92496,0.385233,0.107936,0.703611,0.586768,0.0665956,0.0268474,0.146318,0.386692,0.264902,0.996106,0.0068422,0.172622,0.989061,0.0991103,0.932288,0.412395,0.420436,0.90803,0.016088,0.770895,0.100775,0.66357,0.942047,0.0710817,0.07504,0.614767,0.892064,0.296389,0.413232,0.933404,4.52117e-006,0.418618,2.24587e-005,0.301066,0.225413,0.27664,0.419158,2.36844e-005,0.355402,0.00365249
-433.405,0.963754,0.204452,4,15,0,447.025,0.971215,0.956407,0.724902,0.723391,0.0893611,0.997282,0.913853,0.00623603,0.913509,0.00253319,0.984398,0.95836,0.406443,0.997132,0.0343075,0.760772,0.113887,0.460233,0.832744,0.973699,0.129873,0.205277,0.806758,0.759004,0.0684286,0.0287854,0.0435934,0.275098,0.276609,0.910639,0.0027175,0.0861473,0.993764,0.0864906,0.997467,0.0156023,0.0416404,0.593557,0.00286755,0.965693,0.239228,0.886113,0.539767,0.167256,0.0263015,0.870127,0.794723,0.193242,0.240996,0.931571,6.58961e-005,0.475418,0.0301572,0.326481,0.274048,0.189653,0.380581,0.00829878,0.315148,0.000148616
-431.112,0.995829,0.204452,4,15,0,444.136,0.842134,0.942791,0.664047,0.470873,0.0207374,0.917732,0.963664,0.0327172,0.942672,0.0132901,0.876178,0.856599,0.349116,0.993338,0.122609,0.97521,0.170241,0.0707943,0.804542,0.939333,0.752894,0.380681,0.603582,0.677289,0.000347553,0.157866,0.0572092,0.335953,0.529127,0.979263,0.0822678,0.0363365,0.967283,0.057328,0.98671,0.123822,0.143401,0.650884,0.00666197,0.877391,0.0247898,0.829759,0.929206,0.195458,0.0606673,0.247106,0.619319,0.396418,0.322711,0.999652,0.000851176,0.390602,4.76985e-006,0.356108,0.341988,0.250459,0.382913,1.38504e-005,0.274243,0.00281673
-437.84,0.924749,0.204452,4,15,0,448.283,0.987201,0.993897,0.674914,0.643854,0.0461179,0.969003,0.886119,0.0554482,0.999774,0.0206384,0.957256,0.953327,0.52873,0.969753,0.00455931,0.625747,0.0727454,0.417166,0.864228,0.926703,0.220129,0.123693,0.826429,0.493439,0.312591,0.012799,0.0061028,0.325086,0.356146,0.953882,0.0309972,0.113881,0.944552,0.000226169,0.979362,0.0427444,0.046673,0.47127,0.030247,0.995441,0.374253,0.927255,0.582834,0.135772,0.0732968,0.779871,0.876307,0.173571,0.506561,0.687409,0.00654049,0.366347,7.43169e-007,0.409186,0.292446,0.224404,0.39158,1.87395e-009,0.309433,6.26498e-005
-434.426,0.998657,0.204452,4,15,0,450.382,0.736105,0.929484,0.530389,0.47975,0.00370886,0.98868,0.955981,0.0197168,0.982418,0.0474064,0.986948,0.91788,0.05225,0.970148,0.000902336,0.871701,0.0864218,0.217246,0.861713,0.983076,0.463869,0.215417,0.558785,0.676778,0.000148629,0.263895,0.0705162,0.469611,0.52025,0.996291,0.0113197,0.0440188,0.980283,0.0175819,0.952594,0.0130522,0.0821196,0.94775,0.0298524,0.999098,0.128299,0.913578,0.782754,0.138287,0.0169237,0.536131,0.784583,0.441215,0.323222,0.999851,0.00263408,0.402764,0.0216776,0.284178,0.250737,0.288046,0.43423,0.0250107,0.290722,1.03965e-006
-435.214,0.999841,0.204452,4,15,0,444.482,0.743398,0.984049,0.58744,0.467637,0.00272224,0.97203,0.906896,0.0116987,0.971359,0.0566325,0.981043,0.963637,0.0631827,0.938453,0.000711216,0.838206,0.0762992,0.151948,0.89488,0.994962,0.512961,0.278546,0.564772,0.647573,0.000158378,0.256602,0.0159514,0.41256,0.532363,0.997278,0.0279699,0.0931041,0.988301,0.0286411,0.943367,0.0189569,0.0363626,0.936817,0.0615467,0.999289,0.161794,0.923701,0.848052,0.10512,0.00503752,0.487039,0.721454,0.435228,0.352427,0.999842,0.00328483,0.363843,0.003804,0.298563,0.237162,0.300102,0.452087,0.0374914,0.303662,1.72363e-007
-437.942,0.864046,0.204452,4,15,0,453.172,0.941958,0.993211,0.738089,0.635709,0.057444,0.819401,0.860819,0.000190187,0.982623,0.0149424,0.684773,0.638535,0.102167,0.969183,5.22836e-005,0.873917,0.296922,0.241439,0.708706,0.321004,0.507832,0.261603,0.595067,0.652875,0.00405621,0.0580423,0.00678873,0.261911,0.364291,0.942556,0.180599,0.139181,0.99981,0.017377,0.985058,0.315227,0.361465,0.897833,0.0308166,0.999948,0.126083,0.703078,0.758561,0.291294,0.678996,0.492168,0.738397,0.404933,0.347125,0.995944,0.000483731,0.371198,0.00198965,0.335739,0.247456,0.292789,0.427525,8.00995e-008,0.322545,0.000274487
-437.583,1,0.204452,4,15,0,448.869,0.721304,0.913027,0.673855,0.65958,0.0695384,0.987371,0.931747,9.86558e-005,0.985963,0.0379906,0.971161,0.983646,0.515484,0.914073,0.000237819,0.760862,0.0693372,0.0547839,0.83787,0.988803,0.277904,0.351301,0.623384,0.451382,0.00336679,0.278696,0.0869726,0.326145,0.34042,0.930462,0.0126295,0.0682534,0.999901,0.014037,0.962009,0.0288387,0.0163536,0.484516,0.0859269,0.999762,0.239138,0.930663,0.945216,0.16213,0.0111967,0.722096,0.648699,0.376616,0.548618,0.996633,0.000611991,0.339227,8.46665e-006,0.351608,0.204646,0.308237,0.405001,0.000928476,0.389732,2.32519e-008
-443.123,0.845395,0.204452,4,15,0,457.917,0.959798,0.998059,0.587333,0.795332,0.000726762,0.942578,0.913576,0.0023184,0.969866,0.0341774,0.995963,0.536516,0.116064,0.999297,0.00241114,0.882544,0.16764,0.374932,0.723111,0.891332,0.284928,0.152118,0.578318,0.373189,0.000215993,0.0402022,0.00194149,0.412667,0.204668,0.999273,0.057422,0.0864238,0.997682,0.0301344,0.965823,0.00403713,0.463484,0.883936,0.00070251,0.997589,0.117456,0.83236,0.625068,0.276889,0.108668,0.715072,0.847882,0.421682,0.626811,0.999784,1.72654e-007,0.432182,0.0320968,0.243021,0.304403,0.320584,0.348357,8.41644e-005,0.315143,0.00412898
-443.423,0.743871,0.204452,4,31,0,460.218,0.963418,0.995737,0.757465,0.853936,1.22488e-006,0.933116,0.935698,0.143714,0.881221,0.0554053,0.996448,0.97525,0.455913,0.996298,0.00176424,0.916732,0.157268,0.129114,0.930697,0.997099,0.227437,0.347852,0.884574,0.765639,0.000161072,0.0365818,0.00426273,0.242535,0.146064,0.999999,0.0668843,0.0643021,0.856286,0.118779,0.944595,0.00355176,0.0247501,0.544087,0.00370192,0.998236,0.0832675,0.842732,0.870886,0.0693026,0.0029014,0.772563,0.652148,0.115426,0.234361,0.999839,0.000456488,0.415255,2.04631e-005,0.36546,0.270152,0.204604,0.413452,7.83079e-006,0.31592,0.0146735
-434.399,0.99479,0.204452,4,15,0,456.136,0.962665,0.833181,0.627484,0.619184,0.00577039,0.99683,0.885138,0.00773097,0.967288,0.0137769,0.897471,0.984503,0.496019,0.874716,0.374124,0.849243,0.263134,0.133232,0.660664,0.997534,0.395223,0.320739,0.539445,0.791338,0.156768,0.037335,0.166819,0.372516,0.380816,0.99423,0.00317011,0.114862,0.992269,0.0327123,0.986223,0.102529,0.015497,0.503981,0.125284,0.625876,0.150757,0.736866,0.866768,0.339336,0.00246584,0.604777,0.679261,0.460555,0.208662,0.843232,0.000985404,0.471476,0.000672143,0.364014,0.387102,0.163438,0.385997,0.00107014,0.225243,1.02166e-006
-449.411,0.556472,0.204452,4,15,0,463.898,0.999852,0.984889,0.651155,0.401961,0.0186953,0.999057,0.985372,0.141464,0.997737,0.0200967,0.903034,0.999969,0.490143,0.996975,0.0128584,0.942878,0.124884,0.188581,0.821739,0.563927,0.821882,0.159462,0.796613,0.835726,0.00916304,0.000148031,0.0151109,0.348845,0.598039,0.981305,0.000943333,0.0146283,0.858536,0.00226279,0.979903,0.0969664,3.09583e-005,0.509857,0.00302461,0.987142,0.0571222,0.875116,0.811419,0.178261,0.436073,0.178118,0.840538,0.203387,0.164274,0.990837,1.55966e-008,0.362424,8.02946e-005,0.318905,0.286051,0.296937,0.460669,0.0217246,0.2532,9.70791e-006
-444.136,0.970356,0.204452,4,15,0,463.87,0.999292,0.789336,0.503575,0.63547,0.0399729,0.979864,0.999888,0.00168831,0.54821,0.0316663,0.988114,0.999998,0.18068,0.846181,0.0143617,0.708336,0.190597,0.144534,0.598989,0.995756,0.372758,0.389331,0.423986,0.66215,0.00531455,0.00070759,0.210664,0.496425,0.36453,0.960027,0.0201362,0.000111561,0.998312,0.45179,0.968334,0.0118859,2.17201e-006,0.81932,0.153819,0.985638,0.291664,0.809403,0.855466,0.401011,0.0042442,0.627242,0.610669,0.576014,0.33785,0.994685,4.32687e-006,0.452999,0.000115096,0.302193,0.259027,0.243418,0.416318,1.78952e-005,0.324536,0.00137168
-441.997,0.983993,0.204452,4,15,0,460.207,0.999358,0.976287,0.652242,0.69631,0.0157828,0.78922,0.999992,0.000660639,0.932228,0.00620874,0.99549,0.999983,0.202836,0.971316,0.105103,0.862019,0.284164,0.116922,0.388395,0.958206,0.559363,0.487574,0.801437,0.593484,0.0758617,0.000641906,0.0237135,0.347758,0.30369,0.984217,0.21078,8.29918e-006,0.999339,0.0677715,0.993791,0.00451045,1.7087e-005,0.797164,0.028684,0.894897,0.137981,0.715836,0.883078,0.611605,0.0417939,0.440637,0.512426,0.198563,0.406516,0.924138,0.00968074,0.380383,3.46609e-005,0.35027,0.284803,0.269134,0.400976,3.45772e-007,0.304506,0.000213343
-440.514,0.949519,0.204452,4,15,0,452.456,0.999225,0.976047,0.630024,0.752852,0.0297884,0.997281,0.999978,0.00414604,0.851416,0.00261553,0.997911,0.99997,0.282493,0.95485,0.0281557,0.847045,0.142404,0.384799,0.789597,0.677832,0.303318,0.158516,0.723992,0.407129,0.0449586,0.000775477,0.0239528,0.369976,0.247148,0.970212,0.00271853,2.15648e-005,0.995854,0.148584,0.997384,0.00208934,3.02276e-005,0.717507,0.0451502,0.971844,0.152955,0.857596,0.615201,0.210403,0.322168,0.696682,0.841484,0.276008,0.592871,0.955041,5.12554e-005,0.409887,0.00307991,0.338533,0.25775,0.251274,0.451063,7.83259e-007,0.288056,0.000304917
-444.847,0.976314,0.204452,4,15,0,457.071,0.99212,0.953524,0.742288,0.325902,0.0456748,0.995288,0.352504,0.127471,0.983809,0.125556,0.999878,0.999989,0.242207,0.918263,0.0992542,0.860043,0.212619,0.0616194,0.917135,0.990047,0.366689,0.296851,0.637,0.820633,0.0209299,0.00787967,0.0464761,0.257712,0.674098,0.954325,0.00471171,0.647496,0.872529,0.016191,0.874444,0.000121782,1.13311e-005,0.757793,0.0817371,0.900746,0.139957,0.787381,0.938381,0.0828649,0.00995325,0.633311,0.703149,0.363,0.179367,0.97907,0.00100566,0.445902,0.00160748,0.264914,0.267392,0.289113,0.355925,6.86616e-005,0.37407,1.86781e-006
